,First Name,Last Name,DOB,Gender,Selected Race,Guardian First,Guardian Last,Street,City,State,Zip,ELIGIBLE,ERRORS,ERROR TYPE
0,Frankie,CHEN,2010-01-05,Boy,AAPI,CORINA,CHEN,3150 Post Farm Road,Cleantown,ST,30303.0,True,False,None
1,Vivienne,DURBIN,2010-08-16,Girl,White,CANDY,DURBIN,1796 Oak Street,Cleantown,ST,13697.0,True,False,None
2,Alma,CEJA,2006-07-19,Girl,Hispanic,SOCORRO,VELAZQUEZ,3988 Rockwell Lane,Cleantown,ST,28562.0,True,False,None
3,Autumn,DOUGHERTY,2006-06-20,Girl,White,KERI,CRABTREE,823 Filbert Street,Cleantown,ST,19103.0,True,False,None
4,Ulises,VAZQUEZ,1998-06-01,Boy,Hispanic,RHODA,VAZQUEZ,42 Hillview Drive,Cleantown,ST,31901.0,True,False,None
5,Matilda,HERNANDEZ,2010-02-03,Girl,Hispanic,LILLY,HERNANDEZ,656 Chapel Street,Cleantown,ST,77521.0,True,False,None
6,Greyson,OLEARY,2007-02-04,Boy,White,CHANDRA,LEAVITT,1178 Small Street,Cleantown,ST,10017.0,True,False,None
7,Kassandra,ACEVES,2003-08-06,Girl,Hispanic,KERI,ACEVES,1305 Blackwell Street,Cleantown,ST,99515.0,True,False,None
8,Halle,WILLIAMS,2006-10-07,Girl,Black,ILA,HOLLINS,1801 Linda Street,Cleantown,ST,19714.0,True,False,None
9,Lilah,SNODGRASS,2002-04-18,Girl,White,ESTELA,DONOVAN,418 Windy Ridge Road,Cleantown,ST,61081.0,True,False,None
10,Dante,JENSEN,2010-10-29,Boy,White,DAN,KAPLAN,321 Hott Street,Cleantown,ST,73129.0,True,False,None
11,Vivaan,VU,2006-11-23,Boy,AAPI,LAKEISHA,VU,2212 Calvin Street,Cleantown,ST,21202.0,True,False,None
12,Terrell,JACKSON,2004-01-08,Boy,Black,JOSEFA,WASHINGTON,1613 Watson Street,Cleantown,ST,8210.0,True,False,None
13,Isaac,METZ,2009-08-30,Boy,White,LUPE,METZ,3242 Elliot Avenue,Cleantown,ST,98032.0,True,False,None
14,Rayan,HUERTA,1999-11-24,Boy,Hispanic,MARTINA,GONZALEZ,3503 Steve Hunt Road,Cleantown,ST,33176.0,True,False,None
