,First Name,Last Name,DOB,Gender,Selected Race,Guardian First,Guardian Last,Street,City,State,Zip,ELIGIBLE,ERRORS,ERROR TYPE
0,Ronnie,WILLIAMS,1/10/99,Boy,Black,MAX,COLEMAN,4551 Bicetown Road,Oopstown,ST,10016,True,False,None
1,Aria,BABCOCK,4/29/04,Girl,White,BRAD,BABCOCK,3596 Stone Lane,Oopstown,ST,19464,True,False,None
2,Josiah,HECK,11/8/10,Boy,White,LESLIE,HECK,4771 Poplar Lane,Oopstown,ST,33131,True,False,None
3,Paityn,COMPEAN,1/3/00,Girl,Hispanic,CLEO,COMPEAN,4795 Beechwood Drive,Oopstown,ST,21076,True,False,None
4,Grace,KOCH,10/3/04,Girl,White,PEDRO,KOCH,259 Stewart Street,Oopstown,ST,46202,True,False,None
5,Scarlett,EBERT,10/13/00,Girl,White,DEAN,EBERT,4117 Oak Avenue,Oopstown,ST,60015,True,False,None
6,Frankie,YEUNG,5/21/08,Boy,AAPI,TERRANCE,YEUNG,129 Forest Drive,Oopstown,ST,20200,True,False,None
7,Addison,LARSON,12/22/01,Girl,White,LIDIA,LARSON,1673 Glen Falls Road,Oopstown,ST,19090,True,False,None
8,Duncan,MUHAMMAD,4/27/01,Boy,Black,TESSA,MUHAMMAD,634 Dogwood Road,Oopstown,ST,85034,True,False,None
9,Oliver,ROSEN,7/31/00,Boy,White,DOROTHEA,ROSEN,1256 Quarry Drive,Oopstown,ST,36351,True,False,None
10,Kohen,XU,12/1/99,Boy,AAPI,HALLIE,XU,3355 Williams Lane,Oopstown,ST,67216,True,False,None
11,Ellie,SKAGGS,3/26/06,Girl,White,PAIGE,SKAGGS,350 Tea Berry Lane,Oopstown,ST,54016,True,False,None
12,Harley,VILLATORO,6/14/02,Boy,Hispanic,SUSANA,VILLATORO,2567 Alpha Avenue,Oopstown,ST,75662,True,False,None
13,Rohan,VAZQUEZ,10/26/99,Boy,Hispanic,DUSTIN,VELAZQUEZ,1294 Williams Avenue,Oopstown,ST,93550,True,False,None
14,Maximo,TSAO,9/10/08,Boy,AAPI,GILDA,ZHANG,3073 Pineview Drive,Oopstown,ST,55904,True,False,None
15,Erica,GONZALEZ,12/15/07,Girl,Hispanic,DAN,OCHOA,651 Adonais Way,Oopstown,ST,30071,True,False,None
16,Gavin,WILHELM,6/4/05,Boy,White,GLENNA,WILHELM,3129 Horner Street,Oopstown,ST,44307,True,False,None
17,Emerson,BRENNER,10/2/98,Girl,White,GABRIELLE,BRENNER,1823 Daffodil Lane,Oopstown,ST,22070,True,False,None
18,Pyper,BYUN,3/9/02,Girl,AAPI,WENDI,BYUN,2555 Bird Spring Lane,Oopstown,ST,77053,True,False,None
19,Javion,SINGLETON,8/24/98,Boy,Black,ILA,SINGLETON,3452 Ashmor Drive,Oopstown,ST,58102,True,False,None
20,Daniel,ROTH,1/23/99,Boy,White,MARGRET,ROTH,1521 Metz Lane,Oopstown,ST,78840,True,False,None
21,Roselyn,BATTLE,9/1/10,Girl,Black,FERNANDO,BANKS,1550 James Street,Oopstown,ST,14895,True,False,None
22,Ella,FREY,8/5/08,Girl,White,PETRA,WEINER,437 Hickory Street,Oopstown,ST,84104,True,False,None
23,Jaylin,QUACH,3/21/10,Girl,AAPI,ALFREDA,YI,1902 Fowler Avenue,Oopstown,ST,47374,True,False,None
24,Vanessa,BAUGHMAN,3/25/07,Girl,White,GEORGINA,BAUGHMAN,2880 Tyler Avenue,Oopstown,ST,33128,True,False,None
25,Aubrey,CORCORAN,12/23/04,Girl,White,CLAUDETTE,CORCORAN,604 Bingamon Road,Oopstown,ST,44141,True,False,None
26,Jasiah,GONZALEZ,10/13/10,Boy,Hispanic,MILLIE,GONZALEZ,609 Heather Sees Way,Oopstown,ST,74401,True,False,None
27,Ameer,LIM,5/22/09,Boy,AAPI,CATHRYN,DUONG,3013 Kovar Road,Oopstown,ST,1748,True,False,None
28,Timothy,WERNER,12/23/04,Boy,White,BARBRA,WERNER,4110 Huntz Lane,Oopstown,ST,1862,True,False,None
29,Benjamin,GOLDSTEIN,6/19/99,Boy,White,ESPERANZA,YEAGER,763 Rocket Drive,Oopstown,ST,55417,True,False,None
30,Ellie,HANSEN,9/7/07,Girl,White,SUSANNE,SILVERMAN,4839 South Street,Oopstown,ST,22903,True,False,None
31,Case,BAUMAN,3/28/10,Boy,White,JEANINE,BAUMAN,3309 Rinehart Road,Oopstown,ST,95249,True,False,None
32,Liliana,BAUMAN,9/24/04,Girl,White,SHARRON,BAUMAN,4276 Frank Avenue,Oopstown,ST,1103,True,False,None
33,Santiago,HANSEN,3/12/07,Boy,White,NITA,HANSEN,3694 Middleville Road,Oopstown,ST,66606,True,False,None
34,Penelope,WHALEN,8/9/08,Girl,White,JUSTINE,WHALEN,3386 Joseph Street,Oopstown,ST,53226,True,False,None
35,Lucca,GONZALEZ,12/8/04,Boy,Hispanic,DEBORA,GONZALEZ,889 Wines Lane,Oopstown,ST,77028,True,False,None
36,Lewis,MAGANA,8/25/01,Boy,Hispanic,CLARICE,MAGANA,1671 Bluff Street,Oopstown,ST,21740,True,False,None
37,Javier,ODONNELL-REGAN,1/22/98,Boy,White,WINNIE,ODONNELL-REGAN,2998 Woodland Terrace,Oopstown,ST,95814,True,False,None
38,Michael,HAMMER-SCHULTE,1/19/05,Boy,White,CECIL,HAMMER-SCHULTE,2246 Roosevelt Wilson Lane,Oopstown,ST,91765,True,False,None
39,Eleanor,GUSTAFSON,11/5/08,Girl,White,PAIGE,GUSTAFSON,1521 Metz Lane,Oopstown,ST,1730,True,False,None
40,Aiyana,KORNEGAY,9/1/05,Girl,Black,MARGERY,JACKSON,1302 Spruce Drive,Oopstown,ST,15090,True,False,None
41,Cayson,OROZCO,12/20/00,Boy,Hispanic,DERRICK,OROZCO,988 Cambridge Court,Oopstown,ST,72901,True,False,None
42,Camilla,FRITZ,7/20/07,Girl,White,AVA,FRITZ,2429 Terra Cotta Street,Oopstown,ST,56464,True,False,None
43,Madelyn,TUTTLE,12/3/00,Girl,White,ZACHARY,TUTTLE,3259 Whispering Pines Circle,Oopstown,ST,75287,True,False,None
44,Gerald,WILLIAMS,7/1/09,Boy,Black,LAKEISHA,WILLIAMS,3002 Mcwhorter Road,Oopstown,ST,39201,True,False,None
45,Remi,ROBLEDO,2/23/02,Girl,Hispanic,DAPHNE,ROBLEDO,1579 Coburn Hollow Road,Oopstown,ST,61755,True,False,None
46,Cooper,STEINER,11/4/01,Boy,White,WINNIE,STEINER,261 Kildeer Drive,Oopstown,ST,45769,True,False,None
47,Charley,ERICKSON,8/9/07,Girl,White,RENE,LUDWIG,1011 Broadway Street,Oopstown,ST,29461,True,False,None
48,Marjorie,RAMIREZ,1/9/98,Girl,Hispanic,ISABELLE,ROJAS,2944 Hiney Road,Oopstown,ST,89102,True,False,None
49,Roland,RAMIREZ,2/17/07,Boy,Hispanic,LILLY,RAMIREZ,2586 Carson Street,Oopstown,ST,45202,True,False,None
50,Olivia,ROTH,2/1/99,Girl,White,LATISHA,ROTH,2007 Grim Avenue,Oopstown,ST,92101,True,False,None
