,First Name,Last Name,DOB,Gender,Selected Race,Guardian First,Guardian Last,Street,City,State,Zip,SCHOOL_ID
0,Frankie,CHEN,2010-01-05,Boy,AAPI,CORINA,CHEN,3150 Post Farm Road,Cleantown,ST,30303.0,0
1,Vivienne,DURBIN,2010-08-16,Girl,White,CANDY,DURBIN,1796 Oak Street,Cleantown,ST,13697.0,1
2,Alma,CEJA,2006-07-19,Girl,Hispanic,SOCORRO,VELAZQUEZ,3988 Rockwell Lane,Cleantown,ST,28562.0,2
3,Autumn,DOUGHERTY,2006-06-20,Girl,White,KERI,CRABTREE,823 Filbert Street,Cleantown,ST,19103.0,3
4,Ulises,VAZQUEZ,1998-06-01,Boy,Hispanic,RHODA,VAZQUEZ,42 Hillview Drive,Cleantown,ST,31901.0,4
5,Matilda,HERNANDEZ,2010-02-03,Girl,Hispanic,LILLY,HERNANDEZ,656 Chapel Street,Cleantown,ST,77521.0,5
6,Greyson,OLEARY,2007-02-04,Boy,White,CHANDRA,LEAVITT,1178 Small Street,Cleantown,ST,10017.0,6
7,Kassandra,ACEVES,2003-08-06,Girl,Hispanic,KERI,ACEVES,1305 Blackwell Street,Cleantown,ST,99515.0,7
8,Halle,WILLIAMS,2006-10-07,Girl,Black,ILA,HOLLINS,1801 Linda Street,Cleantown,ST,19714.0,8
9,Lilah,SNODGRASS,2002-04-18,Girl,White,MARIBEL,DONOVAN,4378 Lowland Drive,Cleantown,ST,61081.0,9
10,Dante,JENSEN,2010-10-29,Boy,White,DAN,KAPLAN,321 Hott Street,Cleantown,ST,73129.0,10
11,Vivaan,VU,2006-11-23,Boy,AAPI,LAKEISHA,VU,2212 Calvin Street,Cleantown,ST,21202.0,11
12,Terrell,JACKSON,2004-01-08,Boy,Black,JOSEFA,WASHINGTON,1613 Watson Street,Cleantown,ST,8210.0,12
13,Isaac,METZ,2009-08-30,Boy,White,LUPE,METZ,3242 Elliot Avenue,Cleantown,ST,98032.0,13
14,Rayan,HUERTA,1999-11-24,Boy,Hispanic,MARTINA,GONZALEZ,3503 Steve Hunt Road,Cleantown,ST,33176.0,14
15,Will,BURNEY,2004-12-22,Boy,Black,MINERVA,BURNEY,231 Anthony Avenue,Cleantown,ST,79602.0,15
16,Wendy,CONEY,2006-05-17,Girl,Black,ASHLEE,BEY,4123 Aspen Court,Cleantown,ST,2110.0,16
17,Santiago,OBRIEN,2000-09-06,Boy,White,TAMIKA,OBRIEN,1916 University Street,Cleantown,ST,98101.0,17
18,Blaise,JEAN,2005-06-13,Boy,Black,ARMANDO,JEAN,3234 Jennifer Lane,Cleantown,ST,27713.0,18
19,Giancarlo,TOLBERT-MACK,2005-10-05,Boy,Black,MELISA,TOLBERT-MACK,640 Jefferson Street,Cleantown,ST,23417.0,19
20,Lauren,SNYDER,1998-03-09,Girl,White,REGINALD,SNYDER,2630 Mount Street,Cleantown,ST,48607.0,20
21,Terrance,AYALA,2000-12-10,Boy,Hispanic,DUSTIN,AYALA,3872 Biddie Lane,Cleantown,ST,23227.0,21
22,Aliza,RUFFIN,2006-04-04,Girl,Black,ROSELLA,EDMOND,1981 Romano Street,Cleantown,ST,2199.0,22
23,Dorothy,ALMARAZ,1999-05-19,Girl,Hispanic,ROLAND,ALMARAZ,1236 Ethels Lane,Cleantown,ST,33873.0,23
24,Adeline,CAUDILL,2005-03-23,Girl,White,RUTHIE,CAUDILL,2999 Clement Street,Cleantown,ST,30071.0,24
25,Valentin,HSU,1999-12-07,Boy,AAPI,BRIANA,HSU,712 Burning Memory Lane,Cleantown,ST,19125.0,25
26,Danny,BERMAN,2007-09-24,Boy,White,SHARRON,BERMAN,4599 Stockert Hollow Road,Cleantown,ST,98011.0,26
27,Milania,MCNAIR,2004-05-14,Girl,Black,DONA,DORSEY,3500 Science Center Drive,Cleantown,ST,83402.0,27
28,Zoey,BEYER,1998-07-22,Girl,White,CHARITY,BEYER,3685 Jail Drive,Cleantown,ST,61234.0,28
29,Ronald,WISNIEWSKI,2009-11-04,Boy,White,DAPHNE,WISNIEWSKI,769 School House Road,Cleantown,ST,39402.0,29
30,Daniella,CONDON,2008-01-01,Girl,White,SUSANA,CONDON,113 Winding Way,Cleantown,ST,2914.0,30
31,Nickolas,HERNANDEZ,2002-12-26,Boy,Hispanic,LATONYA,HERNANDEZ,2082 Rockford Mountain Lane,Cleantown,ST,54303.0,31
32,Emily,OCONNELL,2005-03-06,Girl,White,RUTHIE,OCONNELL,1393 Grand Avenue,Cleantown,ST,32805.0,32
